,Class
2246,positive
4272,negative
1709,negative
1050,positive
590,positive
519,positive
4358,neutral
3928,neutral
2477,neutral
1083,neutral
3404,neutral
4634,negative
4374,negative
1294,positive
1809,neutral
791,positive
792,positive
4059,negative
4648,negative
1980,neutral
3829,neutral
3210,neutral
1530,neutral
1410,neutral
4220,neutral
4508,neutral
83,positive
868,positive
2350,neutral
20,positive
3247,neutral
2795,neutral
4435,negative
1562,neutral
3093,neutral
3155,neutral
973,positive
1710,negative
4844,negative
4674,negative
1098,neutral
3995,negative
2844,neutral
886,neutral
4356,neutral
4443,negative
3384,neutral
4266,neutral
515,neutral
737,positive
1453,neutral
4031,negative
4560,negative
2506,neutral
2994,neutral
2126,positive
2926,neutral
4604,neutral
906,positive
3459,neutral
1030,neutral
2507,neutral
2428,neutral
947,positive
3604,neutral
3855,neutral
715,positive
4786,positive
686,positive
703,positive
2353,neutral
2257,neutral
4647,negative
473,positive
21,positive
2752,negative
885,positive
2448,neutral
917,positive
3557,positive
3551,neutral
2239,positive
3640,neutral
1265,neutral
483,neutral
4206,negative
2963,neutral
1219,neutral
277,positive
988,positive
2084,neutral
1245,positive
2382,neutral
571,neutral
1435,neutral
993,neutral
3274,neutral
3269,neutral
585,positive
3469,neutral
2514,positive
1349,neutral
1007,neutral
674,negative
2412,neutral
2903,neutral
447,neutral
4614,negative
3558,neutral
359,positive
2064,positive
4314,neutral
3608,neutral
1690,positive
4195,neutral
1548,neutral
1247,neutral
1985,neutral
294,positive
1547,neutral
2012,positive
588,positive
2403,neutral
2129,positive
4253,neutral
2410,negative
2719,neutral
425,positive
2582,neutral
1054,neutral
3757,neutral
4425,negative
556,positive
4226,neutral
4466,neutral
4572,neutral
4712,negative
4570,neutral
3920,neutral
1193,neutral
1716,positive
2604,neutral
3935,neutral
2828,neutral
1704,neutral
2863,neutral
2618,neutral
2400,neutral
2139,positive
3239,neutral
2383,neutral
3218,neutral
4456,positive
1285,neutral
3712,neutral
4262,neutral
4333,negative
2087,positive
1889,neutral
3326,neutral
1591,neutral
1346,positive
4296,neutral
2162,neutral
2396,neutral
3455,neutral
2271,positive
4355,neutral
3111,neutral
1137,positive
3688,neutral
972,positive
795,positive
3020,neutral
1711,negative
36,positive
453,neutral
913,positive
3867,neutral
1199,neutral
1274,neutral
2375,neutral
37,positive
974,positive
3195,neutral
983,positive
3697,neutral
3857,neutral
1418,neutral
3964,neutral
1560,neutral
39,positive
1486,neutral
4083,positive
169,positive
1355,neutral
2785,neutral
4212,negative
4606,neutral
3794,neutral
2682,neutral
3815,neutral
1640,neutral
1290,neutral
1380,neutral
1933,neutral
579,neutral
4092,positive
3160,neutral
2030,neutral
892,positive
4703,negative
780,positive
159,neutral
2,negative
3970,neutral
3216,neutral
2109,positive
849,positive
2737,neutral
2466,neutral
3770,neutral
1596,neutral
1776,positive
1913,neutral
1043,neutral
4573,negative
1544,neutral
2736,neutral
4772,negative
4478,positive
53,positive
1796,neutral
1911,neutral
2306,positive
2553,neutral
2800,neutral
3871,neutral
3933,neutral
824,positive
4592,positive
3178,neutral
1389,neutral
4728,negative
884,positive
3603,neutral
1607,neutral
1594,neutral
771,positive
2611,neutral
3649,neutral
2273,positive
1868,neutral
1085,neutral
3946,neutral
1325,neutral
3390,neutral
1463,neutral
806,positive
3537,positive
3570,neutral
2108,neutral
4108,negative
4803,negative
2234,positive
3211,neutral
963,positive
3415,neutral
3553,neutral
398,positive
2632,neutral
4705,negative
2996,neutral
704,positive
431,neutral
292,positive
4719,negative
145,positive
3961,neutral
2033,neutral
4073,negative
1165,neutral
2050,positive
2624,neutral
4244,neutral
339,positive
3673,neutral
3957,neutral
2973,neutral
265,positive
2424,neutral
1262,neutral
1771,positive
271,positive
696,negative
747,positive
244,positive
317,positive
476,neutral
2032,neutral
957,positive
3614,positive
813,positive
4556,negative
1914,positive
4464,positive
1297,neutral
3819,neutral
1804,positive
758,positive
250,positive
2461,neutral
545,positive
3241,neutral
738,positive
310,positive
2941,neutral
1131,neutral
1449,neutral
4770,negative
15,positive
3232,neutral
2769,neutral
3468,neutral
920,positive
3029,negative
4060,negative
2544,neutral
38,positive
363,positive
3889,neutral
182,positive
3033,positive
2983,neutral
1194,positive
2852,neutral
3565,neutral
1121,neutral
2235,positive
2667,neutral
3505,neutral
3223,neutral
1182,neutral
4163,negative
614,positive
1466,neutral
401,neutral
3042,neutral
934,positive
2419,neutral
4679,negative
4379,negative
2641,neutral
3807,neutral
726,neutral
826,positive
1521,neutral
4603,neutral
2930,neutral
136,positive
628,neutral
334,positive
390,positive
4252,neutral
4727,negative
3628,neutral
1817,neutral
400,neutral
710,positive
1039,neutral
3780,neutral
3359,neutral
46,positive
1561,neutral
4654,negative
4697,negative
1112,neutral
2513,neutral
1223,neutral
3848,neutral
3023,neutral
2421,neutral
1508,neutral
1750,positive
4691,negative
3881,neutral
1799,positive
338,positive
215,positive
1341,neutral
11,positive
1520,neutral
3729,neutral
3574,neutral
3004,neutral
2864,neutral
3115,neutral
3895,neutral
2322,neutral
2571,neutral
2913,neutral
101,positive
3549,neutral
1458,neutral
171,positive
107,positive
4056,negative
4837,negative
4165,neutral
4407,negative
3656,neutral
4273,neutral
3858,neutral
60,neutral
1240,neutral
4497,positive
1040,positive
4037,negative
2760,neutral
2120,neutral
1524,positive
3521,neutral
153,positive
2248,positive
481,neutral
4106,negative
4321,negative
3578,neutral
3930,neutral
3562,neutral
3315,neutral
1762,positive
3538,neutral
4817,negative
750,positive
1785,positive
4490,neutral
3383,neutral
3948,neutral
405,neutral
757,positive
2711,neutral
2670,neutral
3774,neutral
97,positive
1333,positive
4316,neutral
2791,neutral
2854,neutral
186,neutral
3793,neutral
2723,neutral
3583,neutral
2058,positive
4065,negative
148,positive
28,positive
3951,neutral
3799,neutral
4402,negative
692,positive
2866,neutral
1386,neutral
1845,neutral
4589,negative
3958,neutral
1599,neutral
4368,neutral
701,positive
3773,neutral
3028,neutral
2969,neutral
4224,neutral
1708,negative
2953,neutral
454,neutral
2868,neutral
2040,neutral
4041,negative
2315,neutral
609,positive
167,positive
730,positive
4120,neutral
3358,neutral
2074,neutral
3828,neutral
1622,neutral
587,positive
1401,neutral
3045,neutral
3224,negative
1700,positive
3088,neutral
4255,neutral
2981,neutral
40,positive
1379,neutral
2089,neutral
2175,positive
3217,neutral
2885,neutral
74,neutral
3702,neutral
2657,neutral
3180,neutral
2076,positive
441,positive
3839,neutral
2051,positive
2541,neutral
3306,neutral
1301,positive
1781,positive
4669,negative
3430,neutral
1304,neutral
236,positive
2599,neutral
520,positive
2573,neutral
3280,neutral
3186,neutral
2768,negative
735,negative
4563,negative
2106,positive
2679,neutral
3229,neutral
2761,neutral
592,positive
1303,neutral
1387,neutral
4602,positive
4390,negative
3739,neutral
1890,neutral
2987,positive
4773,positive
3297,neutral
904,positive
4471,neutral
1279,neutral
933,positive
4751,negative
2308,positive
1555,neutral
4397,negative
3190,neutral
4306,neutral
706,positive
4550,neutral
3070,neutral
745,positive
3594,neutral
1939,positive
4265,neutral
2862,neutral
3786,neutral
513,neutral
81,neutral
4823,neutral
1308,neutral
4411,negative
914,positive
3452,neutral
3695,neutral
4698,negative
3156,neutral
2198,positive
774,positive
329,positive
2054,neutral
2001,positive
943,positive
822,neutral
4391,negative
909,positive
2516,neutral
181,positive
164,positive
1523,neutral
451,positive
2538,neutral
3896,neutral
4631,negative
1311,neutral
3149,neutral
1111,neutral
4410,negative
3489,neutral
1287,positive
4020,negative
4505,positive
3680,neutral
4626,negative
4010,negative
3300,neutral
3310,neutral
4419,negative
3125,neutral
327,positive
1790,positive
2490,neutral
2006,positive
2007,neutral
1858,neutral
4545,neutral
312,positive
832,positive
3079,neutral
4577,neutral
3462,neutral
1201,neutral
4256,neutral
3547,neutral
3783,neutral
2134,neutral
3451,neutral
2209,positive
1901,neutral
1481,neutral
777,positive
799,positive
3714,neutral
54,positive
2972,neutral
3335,neutral
1920,neutral
3715,neutral
4506,positive
946,positive
1701,neutral
3293,neutral
2161,positive
1136,neutral
987,positive
2549,neutral
193,positive
3057,neutral
3246,neutral
1394,neutral
2637,neutral
768,positive
4562,negative
3090,neutral
3495,positive
3215,neutral
285,positive
4785,negative
428,positive
4313,neutral
2332,neutral
2717,neutral
2079,neutral
3389,neutral
722,positive
951,positive
4232,neutral
2262,positive
989,positive
3212,neutral
1759,positive
3897,neutral
326,positive
2608,neutral
1383,neutral
1724,positive
1086,neutral
2523,neutral
341,positive
3701,neutral
147,positive
688,positive
3432,neutral
1107,neutral
848,positive
966,positive
4587,negative
1492,neutral
2203,positive
2713,neutral
661,positive
1002,neutral
62,neutral
284,positive
2224,neutral
4566,negative
1879,neutral
3572,neutral
4709,negative
1203,neutral
1990,negative
24,positive
4706,negative
4811,negative
4008,negative
762,positive
875,positive
4601,neutral
938,positive
2687,neutral
3600,neutral
2394,neutral
4430,negative
4827,negative
3929,neutral
385,positive
4236,neutral
4432,negative
536,neutral
2291,neutral
4026,negative
936,positive
3737,neutral
4502,positive
2360,neutral
3507,neutral
201,positive
3208,neutral
1332,neutral
3016,neutral
3502,positive
2708,neutral
1934,neutral
935,positive
2418,neutral
566,positive
1854,positive
4334,neutral
2872,negative
3030,neutral
1205,positive
2467,neutral
1645,neutral
3417,neutral
3476,neutral
4093,positive
2861,positive
1792,positive
1430,neutral
2826,neutral
3797,neutral
3368,neutral
3367,neutral
3533,neutral
3100,neutral
50,positive
1013,positive
1928,neutral
3449,neutral
3870,positive
603,positive
3056,neutral
4228,neutral
126,positive
4036,negative
3876,neutral
2935,neutral
3204,neutral
1347,neutral
3055,neutral
355,positive
4517,neutral
3531,neutral
2730,neutral
827,positive
1639,neutral
3694,neutral
3040,neutral
984,positive
3281,neutral
4818,negative
4016,negative
2188,neutral
4760,negative
2443,neutral
362,positive
2349,neutral
345,positive
3973,neutral
4469,positive
711,positive
3205,neutral
3994,negative
4650,negative
3979,neutral
3325,neutral
10,positive
1683,neutral
2116,neutral
4593,negative
1834,neutral
793,positive
3363,neutral
4793,negative
2802,neutral
2674,neutral
94,positive
3989,negative
129,positive
3756,neutral
2891,neutral
2371,neutral
2094,positive
3966,neutral
3332,neutral
4783,negative
3228,neutral
4769,negative
3767,neutral
2995,neutral
2263,positive
1900,neutral
2275,neutral
814,positive
3230,negative
1932,neutral
2853,neutral
4114,neutral
2912,neutral
1865,neutral
1658,positive
516,neutral
3593,neutral
1857,neutral
2645,neutral
2243,positive
1277,neutral
2336,neutral
950,positive
3482,neutral
3044,neutral
3068,positive
1120,positive
4315,neutral
2597,neutral
2204,positive
419,neutral
922,positive
1254,neutral
477,positive
2035,neutral
4141,neutral
1692,neutral
4174,negative
4168,neutral
3571,neutral
1471,neutral
2601,neutral
1202,neutral
2438,neutral
2626,neutral
1669,neutral
4673,negative
1970,neutral
3110,neutral
2151,positive
3687,neutral
820,positive
1997,negative
4744,negative
3054,neutral
1248,neutral
2192,positive
2712,neutral
992,positive
2190,positive
4525,neutral
1046,neutral
1888,positive
2469,positive
3708,neutral
3762,positive
2847,neutral
3597,neutral
615,neutral
1318,neutral
1863,neutral
2343,neutral
2449,neutral
2136,positive
1065,neutral
1772,neutral
4807,neutral
131,positive
2621,neutral
3481,neutral
77,positive
3450,neutral
2898,neutral
2052,positive
4365,neutral
724,positive
1314,neutral
2845,neutral
1851,positive
2317,positive
4238,neutral
872,positive
3850,neutral
3911,neutral
1372,neutral
1855,neutral
4643,negative
2965,neutral
3391,neutral
1319,neutral
2560,neutral
4748,negative
4066,negative
2635,neutral
4001,neutral
4129,negative
3530,neutral
375,positive
1908,neutral
333,positive
4201,neutral
4245,neutral
4027,negative
2365,neutral
1604,positive
3888,neutral
1118,neutral
3677,neutral
3490,neutral
4716,negative
3621,neutral
1943,positive
2958,neutral
1994,positive
4802,neutral
4223,neutral
2376,neutral
4694,negative
1342,neutral
320,positive
1619,neutral
3713,neutral
2060,positive
2219,positive
1673,neutral
260,positive
4667,negative
2039,positive
901,positive
3744,neutral
2026,positive
1917,neutral
1828,neutral
1573,neutral
4259,neutral
224,positive
723,positive
4350,neutral
1141,positive
2762,neutral
846,positive
2551,neutral
2928,negative
117,positive
645,positive
3,positive
467,positive
5,positive
919,positive
2595,neutral
1063,neutral
2590,neutral
242,positive
1160,neutral
2870,neutral
3735,neutral
2397,neutral
3517,neutral
3421,neutral
2563,neutral
1605,neutral
4683,negative
2324,neutral
2709,neutral
4263,negative
1312,neutral
3448,neutral
3812,neutral
4515,neutral
2362,neutral
1975,negative
3514,neutral
1761,positive
2739,neutral
4519,neutral
2472,neutral
4007,neutral
1493,positive
2158,neutral
1169,neutral
4381,negative
232,positive
66,positive
1603,neutral
3283,neutral
3596,neutral
125,positive
1296,neutral
1976,neutral
4382,negative
4346,neutral
2075,positive
3086,neutral
4214,neutral
3345,neutral
4329,negative
2797,negative
918,positive
1646,neutral
364,positive
3287,neutral
2125,neutral
4123,neutral
525,neutral
55,positive
638,positive
302,positive
2766,neutral
1276,neutral
2055,positive
3644,neutral
4143,neutral
2878,neutral
2286,positive
2261,positive
2296,positive
1753,positive
1968,neutral
4219,negative
3117,neutral
2393,neutral
523,neutral
3900,neutral
3122,positive
4156,neutral
1969,negative
671,negative
4188,neutral
666,positive
4207,negative
1887,positive
3266,neutral
280,positive
1719,neutral
2947,neutral
899,positive
4704,negative
760,positive
1906,neutral
4042,negative
3823,neutral
4138,neutral
3818,neutral
2593,neutral
4164,neutral
3031,neutral
3579,neutral
2832,neutral
3472,neutral
137,positive
2180,neutral
2128,positive
3177,neutral
4233,negative
1331,neutral
2017,neutral
2482,neutral
1358,neutral
1329,positive
2150,positive
2122,neutral
3981,neutral
1252,neutral
3278,neutral
3374,neutral
2814,neutral
1848,neutral
3037,neutral
388,positive
235,positive
1077,positive
1984,neutral
3962,neutral
770,positive
2165,positive
673,negative
249,positive
1574,neutral
3419,neutral
2081,neutral
1823,positive
716,positive
4528,neutral
2048,neutral
4178,neutral
2724,neutral
4386,negative
1460,neutral
1668,neutral
2756,negative
2000,positive
404,positive
384,positive
4357,neutral
2152,positive
1633,neutral
4449,negative
3925,neutral
4158,neutral
223,neutral
2193,positive
3136,neutral
1824,neutral
4462,positive
797,positive
2871,positive
9,positive
1944,positive
1838,neutral
255,positive
4373,negative
1581,neutral
2956,neutral
924,positive
4294,neutral
2508,neutral
3775,neutral
4136,negative
2779,neutral
539,negative
2745,neutral
4363,neutral
4434,negative
1145,positive
667,neutral
3019,neutral
357,positive
2831,neutral
2783,neutral
1353,neutral
470,neutral
2703,neutral
3330,neutral
3637,neutral
1396,neutral
3584,neutral
4351,neutral
3376,neutral
1256,neutral
3512,neutral
1250,neutral
4662,negative
4298,neutral
3284,neutral
2933,neutral
4175,negative
1852,positive
4721,negative
2105,neutral
133,positive
928,positive
823,positive
4406,negative
1531,positive
1214,positive
504,neutral
4285,neutral
1996,neutral
3072,neutral
1958,neutral
1384,neutral
894,positive
455,positive
4605,neutral
3709,neutral
4479,neutral
4268,neutral
3522,neutral
4134,neutral
3602,neutral
713,positive
4186,negative
2214,neutral
2923,neutral
1810,neutral
3486,neutral
3141,neutral
1827,neutral
1155,neutral
1324,neutral
4312,neutral
510,positive
1680,neutral
499,neutral
4399,negative
1856,neutral
1388,neutral
3719,neutral
2386,neutral
3236,neutral
1540,positive
1217,neutral
2681,neutral
2993,neutral
1191,neutral
1542,neutral
3301,negative
3324,neutral
2539,neutral
953,neutral
4330,neutral
732,negative
1156,neutral
3294,neutral
2982,positive
2156,neutral
1062,neutral
2616,neutral
1167,neutral
3222,neutral
3636,neutral
2938,neutral
3140,neutral
143,positive
3577,neutral
2782,neutral
717,positive
1819,neutral
2502,neutral
4360,negative
4171,neutral
395,neutral
4690,negative
1365,neutral
4421,negative
595,positive
3952,neutral
2914,neutral
2326,neutral
3766,neutral
3440,neutral
3851,neutral
4132,neutral
4454,negative
2143,neutral
1571,positive
4079,positive
1122,neutral
2786,neutral
2967,neutral
2504,neutral
3465,neutral
675,negative
2808,neutral
3348,neutral
728,positive
412,neutral
3146,neutral
1516,neutral
825,positive
3267,neutral
3974,neutral
616,neutral
114,positive
417,neutral
3069,neutral
1625,neutral
4797,negative
4185,negative
2896,neutral
4531,negative
2082,positive
753,positive
2546,neutral
3969,neutral
3373,neutral
4107,neutral
2444,neutral
4380,negative
1066,neutral
3913,neutral
3498,negative
2738,neutral
4000,negative
1568,neutral
2427,neutral
3746,neutral
4632,negative
1687,positive
851,positive
3546,neutral
895,positive
335,positive
2839,neutral
3087,neutral
1348,neutral
1015,neutral
2816,neutral
1631,neutral
2489,neutral
3730,neutral
3251,neutral
4494,neutral
2070,neutral
4452,negative
4734,negative
1635,neutral
2479,neutral
2265,positive
2959,neutral
3059,neutral
2141,positive
3118,positive
4585,negative
4045,negative
3356,neutral
2744,neutral
3506,neutral
1679,neutral
4249,neutral
3147,positive
2294,positive
580,positive
1470,neutral
4070,negative
3343,neutral
3672,neutral
559,positive
2849,neutral
512,neutral
1081,neutral
1664,neutral
1012,neutral
1931,neutral
1150,negative
2838,neutral
116,positive
740,positive
4661,negative
3675,neutral
830,positive
119,positive
4635,negative
4597,negative
635,neutral
4465,positive
4364,negative
4142,neutral
991,positive
876,positive
4,positive
3051,neutral
3124,neutral
2660,neutral
2491,neutral
3854,neutral
1715,positive
1148,negative
3261,neutral
574,neutral
3769,neutral
3736,neutral
4146,neutral
853,positive
1982,positive
2774,neutral
1166,neutral
971,positive
2701,neutral
4495,positive
3847,neutral
2368,neutral
4115,negative
4131,negative
2950,neutral
524,neutral
2455,neutral
1841,positive
537,neutral
2806,neutral
4341,neutral
3175,neutral
784,positive
4057,negative
1409,positive
2537,neutral
154,positive
3009,neutral
1686,positive
2901,neutral
4796,negative
3863,neutral
2733,neutral
1895,neutral
569,neutral
1816,positive
2065,positive
127,positive
3394,neutral
3327,neutral
4832,negative
2975,neutral
980,positive
2300,positive
190,positive
1139,neutral
699,negative
4731,negative
606,positive
4276,neutral
301,positive
3420,neutral
4675,negative
1060,neutral
2565,neutral
4840,negative
1069,neutral
2524,neutral
2205,neutral
1243,neutral
16,positive
3120,neutral
815,positive
3067,positive
4640,negative
959,positive
225,positive
3354,neutral
2485,neutral
562,positive
3436,neutral
1693,neutral
1045,neutral
3446,neutral
4565,negative
954,positive
4831,negative
2735,neutral
4755,negative
4678,negative
1218,neutral
1527,neutral
3987,negative
1300,positive
4743,negative
160,positive
4067,negative
956,positive
3791,neutral
3234,neutral
2869,neutral
3777,neutral
4433,negative
2961,neutral
2200,neutral
98,positive
2557,neutral
3183,neutral
253,positive
3923,neutral
4199,negative
1445,neutral
1648,positive
3991,neutral
1696,neutral
3191,neutral
4499,positive
1154,neutral
2255,positive
1682,neutral
3170,neutral
2056,neutral
4090,neutral
3108,neutral
4548,neutral
3723,neutral
2049,positive
3643,neutral
4776,neutral
623,neutral
262,positive
3369,neutral
4061,negative
1802,neutral
4838,negative
2385,neutral
1959,neutral
2976,positive
488,neutral
1843,neutral
1734,positive
2911,neutral
3219,neutral
146,positive
1986,negative
1369,positive
2811,negative
659,positive
1794,neutral
2511,neutral
3397,neutral
4282,negative
1147,neutral
3272,neutral
608,positive
3582,neutral
1930,neutral
197,positive
2931,neutral
2327,neutral
4389,negative
766,positive
4496,positive
4218,neutral
3255,neutral
202,positive
3510,neutral
1733,positive
2777,neutral
1707,negative
3474,neutral
854,positive
4097,positive
2160,neutral
698,negative
4794,neutral
2999,neutral
3696,neutral
1636,neutral
3457,neutral
3581,neutral
1291,neutral
4659,negative
1853,neutral
3763,neutral
3304,neutral
4763,negative
3743,neutral
3445,neutral
1998,negative
663,positive
3748,neutral
4413,negative
709,positive
1282,positive
2675,neutral
4029,negative
1306,neutral
2237,positive
3302,neutral
2038,neutral
1529,neutral
1663,neutral
4782,negative
4800,negative
3627,neutral
2693,neutral
3060,neutral
1597,neutral
2729,neutral
2625,neutral
3157,neutral
3314,neutral
1722,positive
1059,neutral
4636,negative
3242,positive
1678,neutral
1757,positive
4191,negative
563,positive
2790,neutral
863,positive
1484,positive
206,positive
4488,neutral
870,positive
4493,positive
502,neutral
1028,positive
3840,neutral
2690,neutral
1570,negative
2773,neutral
2731,negative
804,positive
3645,neutral
2454,positive
4598,negative
3104,neutral
200,positive
3099,neutral
2278,positive
3561,neutral
4474,neutral
4514,negative
391,positive
1495,neutral
2695,neutral
2027,positive
2568,neutral
64,neutral
3884,neutral
2062,positive
492,positive
379,positive
3993,negative
1076,neutral
878,positive
337,positive
1016,neutral
1275,neutral
3798,neutral
4551,negative
3342,neutral
995,positive
1981,neutral
4297,negative
161,positive
1500,neutral
3843,neutral
2613,neutral
3461,neutral
1021,neutral
3073,neutral
3943,neutral
1585,neutral
1955,neutral
3152,neutral
34,positive
4014,negative
775,positive
2556,neutral
1478,neutral
1363,neutral
2612,neutral
2824,neutral
2041,neutral
241,positive
2061,positive
2363,neutral
600,positive
2435,neutral
2888,neutral
646,positive
3890,positive
3556,neutral
3202,neutral
1528,neutral
1267,neutral
1899,neutral
4658,negative
3005,neutral
2734,neutral
189,positive
1806,neutral
975,positive
2747,neutral
2047,neutral
2558,neutral
1082,neutral
474,neutral
2904,neutral
4117,negative
3385,neutral
4555,negative
1184,positive
2433,neutral
2391,neutral
769,positive
1685,positive
130,positive
2919,neutral
3171,neutral
3444,neutral
4426,negative
466,positive
3092,neutral
3772,neutral
860,positive
