,News
3156,106
2198,106
774,14
329,167
2054,109
2001,26
943,81
822,138
4391,543
909,737
2516,1690
181,758
164,14
1523,6
451,3
2538,4063
3896,109
4631,303
1311,264
3149,4186
1111,34
4410,9
3489,918
1287,2728
4020,6
4505,107
3680,583
4626,144
4010,620
3300,94
3310,84
4419,14
3125,15
327,425
1790,1628
2490,3993
2006,88
2007,43
1858,1643
4545,266
312,106
832,4992
3079,607
4577,619
3462,224
1201,51
4256,1188
3547,2457
3783,410
2134,2903
3451,162
2209,3
1901,123
1481,71
777,937
799,511
3714,607
54,25
2972,318
3335,78
1920,6469
3715,607
4506,8998
946,1078
1701,2600
3293,17
2161,9
1136,1815
987,5152
2549,1693
193,6
3057,164
3246,35
1394,673
2637,1288
768,1209
4562,9108
3090,1322
3495,10
3215,32
285,53
4785,559
428,6
4313,6
2332,976
2717,335
2079,259
3389,60
722,14
951,6
4232,335
2262,6811
989,63
3212,7754
1759,1037
3897,74
326,146
2608,3
1383,12
1724,6
1086,216
2523,35
341,593
3701,1494
147,6
688,302
3432,362
1107,661
848,5018
966,472
4587,14
1492,1656
2203,43
2713,7218
661,28
1002,1611
62,17
284,55
2224,21
4566,1487
1879,2077
3572,146
4709,10
1203,5441
1990,1048
24,9
4706,189
4811,1176
4008,42
762,870
875,189
4601,1851
938,6
2687,354
3600,9
2394,385
4430,19
4827,9230
3929,150
385,34
4236,262
4432,771
536,491
2291,33
4026,16
936,6
3737,8213
4502,239
2360,211
3507,349
201,6
3208,3
1332,2481
3016,343
3502,42
2708,7213
1934,6496
935,6
2418,367
566,104
1854,304
4334,472
2872,24
3030,287
1205,332
2467,435
1645,981
3417,7921
3476,4024
4093,158
2861,255
1792,782
1430,137
2826,113
3797,3
3368,917
3367,151
3533,74
3100,2946
50,3
1013,1851
1928,1646
3449,1310
3870,2892
603,4805
3056,164
4228,401
126,41
4036,14
3876,3936
2935,247
3204,3
1347,629
3055,164
355,14
4517,162
3531,37
2730,125
827,158
1639,17
3694,35
3040,7611
984,6
3281,93
4818,1471
4016,8441
2188,543
4760,157
2443,466
362,637
2349,90
345,343
3973,605
4469,849
711,177
3205,3
3994,38
4650,6
3979,3
3325,1125
10,314
1683,561
2116,259
4593,14
1834,1301
793,265
3363,25
4793,6
2802,992
2674,545
94,6
3989,21
129,670
3756,334
2891,35
2371,1210
2094,1797
3966,1252
3332,228
4783,234
3228,84
4769,292
3767,100
2995,3128
2263,104
1900,3863
2275,6
814,42
3230,458
1932,30
2853,643
4114,162
2912,17
1865,3
1658,292
516,46
3593,4272
1857,33
2645,108
2243,2328
1277,3573
2336,172
950,6
3482,724
3044,17
3068,378
1120,5357
4315,4365
2597,3
2204,3
419,671
922,520
1254,2211
477,136
2035,6643
4141,3582
1692,233
4174,3873
4168,738
3571,1930
1471,402
2601,3
1202,438
2438,16
2626,7140
1669,1061
4673,146
1970,262
3110,788
2151,2326
3687,262
820,4984
1997,343
4744,173
3054,33
1248,11
2192,6768
2712,2347
992,106
2190,6764
4525,1734
1046,318
1888,782
2469,104
3708,2360
3762,106
2847,2145
3597,232
615,125
1318,239
1863,2134
2343,623
2449,1174
2136,108
1065,798
1772,3789
4807,3205
131,21
2621,84
3481,145
77,3070
3450,7963
2898,6
2052,90
4365,8819
724,318
1314,350
2845,620
1851,2685
2317,17
4238,8659
872,422
3850,1114
3911,3995
1372,3624
1855,1108
4643,14
2965,395
3391,60
1319,38
2560,169
4748,14
4066,14
2635,232
4001,550
4129,2
3530,730
375,3
1908,607
333,6
4201,281
4245,3
4027,28
2365,3211
1604,402
3888,2952
1118,991
3677,104
3490,174
4716,3
3621,194
1943,18
2958,35
1994,42
4802,399
4223,17
2376,11
4694,9
1342,1032
320,6
1619,3
3713,4290
2060,707
2219,2279
1673,3752
260,184
4667,366
2039,3
901,3
3744,390
2026,1196
1917,32
1828,6
1573,422
4259,980
224,445
723,14
4350,1250
1141,33
2762,42
846,3354
2551,398
2928,7463
117,14
645,6
3,17
467,4671
5,665
919,958
2595,3
1063,1064
2590,18
242,14
1160,1579
2870,2342
3735,1960
2397,2016
3517,451
3421,7928
2563,956
1605,402
4683,2896
2324,22
2709,4090
4263,303
1312,3145
3448,391
3812,32
4515,9019
2362,263
1975,373
3514,385
1761,1058
2739,34
4519,218
2472,718
4007,42
1493,5843
2158,9
1169,3517
4381,623
232,287
66,675
1603,530
3283,447
3596,232
125,335
1296,25
1976,1005
4382,1273
4346,8789
2075,42
3086,350
4214,103
3345,109
4329,1401
2797,276
918,5085
1646,2817
364,157
3287,1085
2125,709
4123,2371
525,633
55,25
638,94
302,150
2766,420
1276,268
2055,6653
3644,395
4143,561
2878,676
2286,343
2261,2200
2296,10
1753,3133
1968,290
4219,57
3117,4175
2393,155
523,459
3900,201
3122,2327
4156,6
1969,1790
671,74
4188,682
666,237
4207,4343
1887,1604
3266,473
280,335
1719,6114
2947,122
899,3
4704,939
760,1077
1906,33
4042,189
3823,323
4138,1062
3818,84
2593,1448
4164,42
3031,287
3579,8079
2832,2928
3472,12
137,296
2180,10
2128,88
3177,276
4233,390
1331,335
2017,509
2482,194
1358,217
1329,72
2150,295
2122,130
3981,4111
1252,88
3278,248
3374,940
2814,53
1848,1097
3037,295
388,212
235,9
1077,530
1984,6602
3962,53
770,417
2165,33
673,174
249,14
1574,422
3419,7923
2081,6679
1823,782
716,146
4528,891
2048,12
4178,74
2724,1943
4386,230
1460,5782
1668,1020
2756,390
2000,2892
404,3
384,189
4357,1682
2152,355
1633,714
4449,177
3925,34
4158,6
223,34
2193,1573
3136,3077
1824,2854
4462,1274
797,410
2871,7407
9,14
1944,6
1838,6310
255,14
4373,118
1581,863
2956,270
924,332
4294,1425
2508,303
3775,18
4136,94
2779,385
539,769
2745,6
4363,8814
4434,605
1145,6
667,21
3019,7573
357,14
2831,172
2783,451
1353,3615
470,46
2703,1943
3330,337
3637,2560
1396,1281
3584,6
4351,1250
3376,34
1256,5509
3512,385
1250,513
4662,158
4298,1552
3284,3998
2933,27
4175,4339
1852,277
4721,12
2105,6
133,150
928,17
823,1274
4406,358
1531,2026
1214,82
504,340
4285,8706
1996,74
3072,4166
1958,223
1384,12
894,1085
455,362
4605,373
3709,57
4479,42
4268,47
3522,2125
4134,4165
3602,8092
713,1269
4186,1073
2214,3
2923,428
1810,954
3486,0
3141,250
1827,1405
1155,42
1324,401
4312,4321
510,3
1680,6070
499,262
4399,1042
1856,2857
1388,700
3719,1079
2386,42
3236,3290
1540,956
1217,1047
2681,825
2993,346
1191,5429
1542,2535
3301,94
3324,502
2539,1243
953,2612
4330,1469
732,2102
1156,42
3294,17
2982,56
2156,9
1062,33
2616,32
1167,3516
3222,32
3636,168
2938,1097
3140,785
143,6
3577,197
2782,451
717,14
1819,75
2502,609
4360,34
4171,3301
395,154
4690,24
1365,3
4421,2175
595,3
3952,1275
2914,487
2326,395
3766,98
3440,771
3851,1114
4132,3
4454,224
2143,304
1571,1169
4079,14
1122,5368
2786,611
2967,123
2504,2943
3465,2562
675,6
2808,7335
3348,155
728,3297
412,69
3146,314
1516,3237
825,680
3267,2996
3974,605
616,1157
114,9
417,611
3069,1841
1625,362
4797,9195
4185,405
2896,6
4531,934
2082,1490
753,42
2546,90
3969,584
3373,45
4107,8474
2444,425
4380,14
1066,154
3913,292
3498,34
2738,34
4000,12
1568,849
2427,643
3746,177
4632,65
1687,520
851,900
3546,88
895,43
335,1219
2839,7374
3087,2990
1348,530
1015,5187
2816,7341
1631,1435
2489,7020
3730,2106
3251,6
4494,64
2070,6
4452,8919
4734,3
1635,54
2479,1097
2265,268
2959,284
3059,1494
2141,1232
3118,23
4585,14
4045,1963
3356,1696
2744,6
3506,6
1679,17
4249,32
3147,314
2294,483
580,7
1470,33
4070,788
3343,730
3672,333
559,692
2849,4119
512,32
1081,402
1664,1264
1012,447
1931,1058
1150,42
2838,2262
116,14
740,3302
4661,523
3675,1389
830,643
119,14
4635,11
4597,6
635,4835
4465,197
4364,465
4142,1082
991,43
876,925
4,42
3051,35
3124,1366
2660,61
2491,1969
3854,288
1715,373
1148,6
3261,452
574,65
3769,41
3736,8212
4146,8532
853,320
1982,787
2774,1844
1166,3516
971,334
2701,2199
4495,426
3847,571
2368,705
4115,425
4131,3
2950,132
524,3198
2455,6
1841,11
537,4726
2806,99
4341,84
3175,2362
784,402
4057,6
1409,90
2537,57
154,204
3009,835
1686,520
2901,6
4796,7
3863,93
2733,82
1895,276
569,620
1816,6275
2065,92
127,926
3394,60
3327,175
4832,796
2975,123
980,571
2300,637
190,1
1139,2675
699,3291
4731,6
606,540
4276,22
301,63
3420,504
4675,6
1060,262
2565,1439
4840,27
1069,48
2524,4060
2205,3
1243,1631
16,1970
3120,1611
815,42
3067,1029
4640,403
959,14
225,445
3354,1696
2485,637
562,4747
3436,32
1693,233
1045,660
3446,605
4565,14
954,7
4831,3302
2735,988
4755,14
4678,6
1218,5459
1527,5887
3987,210
1300,5589
4743,173
160,50
4067,14
956,262
3791,3
3234,1663
2869,3418
3777,18
4433,3
2961,2802
2200,53
98,1726
2557,4068
3183,3
253,14
3923,34
4199,194
1445,5757
1648,2458
3991,1890
1696,6086
3191,3
4499,2199
1154,42
2255,6799
1682,1999
3170,532
2056,60
4090,525
3108,7676
4548,9081
3723,412
2049,2896
3643,21
4776,22
623,1790
262,708
3369,1205
4061,177
1802,2
4838,3
2385,42
1959,11
2976,234
488,6
1843,305
1734,63
2911,3558
3219,32
146,6
1986,6604
1369,699
2811,74
659,758
1794,355
2511,36
3397,60
4282,8703
1147,6
3272,1369
608,1340
3582,1174
1930,1071
197,6
2931,7467
2327,2837
4389,141
766,509
4496,8990
4218,417
3255,17
202,21
3510,150
1733,2430
2777,150
1707,3155
3474,3
854,71
4097,232
2160,9
698,343
4794,3554
2999,304
3696,525
1636,2080
3457,1413
3581,1
1291,1283
4659,6
1853,5
3763,53
3304,61
4763,668
3743,329
3445,803
1998,694
663,42
3748,177
4413,421
709,1773
1282,5560
2675,155
4029,8444
1306,48
2237,218
3302,1522
2038,3
1529,2232
1663,150
4782,332
4800,14
3627,194
2693,127
3060,94
1597,177
2729,211
2625,67
3157,106
3314,737
1722,232
1059,262
4636,4027
3242,406
1678,953
1757,171
4191,6
563,2490
2790,611
863,5032
1484,204
206,9
4488,773
870,131
4493,2964
502,178
1028,1617
3840,138
2690,109
1570,1029
2773,174
2731,743
804,6
3645,8121
2454,306
4598,477
3104,583
200,6
3099,878
2278,6
3561,8059
4474,1179
4514,401
391,1046
1495,5846
2695,1082
2027,28
2568,1260
64,229
3884,809
2062,6656
492,27
379,6
3993,14
1076,530
878,1520
337,1750
1016,42
1275,509
3798,3
4551,34
3342,730
995,134
1981,439
4297,2
161,14
1500,797
3843,406
2613,511
3461,224
1021,451
3073,1286
3943,546
1585,461
1955,170
3152,1176
34,550
4014,146
775,4940
2556,7074
1478,777
1363,3
2612,3
2824,582
2041,3
241,14
2061,3948
2363,263
600,2077
2435,602
2888,35
646,6
3890,38
3556,8051
3202,3
1528,706
1267,810
1899,1005
4658,6
3005,1023
2734,1915
189,641
1806,6249
975,5141
2747,6
2047,12
2558,788
1082,41
474,451
2904,6
4117,2878
3385,150
4555,27
1184,444
2433,234
2391,42
769,248
1685,520
130,550
2919,706
3171,68
3444,7957
4426,1132
466,3172
3092,39
3772,532
860,343
